ls
ls

<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6312  1015
----A 2021/10/15 11:31    129280  10151115
----A 2021/10/15 11:47    128000  10151131
----A 2021/10/15 12:03    128640  10151147
----A 2021/10/15 12:19    128000  10151203
----A 2021/10/15 12:35    128000  10151219
----A 2021/10/15 12:51    128000  10151235
----A 2021/10/15 13:07    128000  10151251
----A 2021/10/15 13:23    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440

  13 File(s),   1293352 bytes total
   0 Dir(s),     999248K bytes free

/> 
read 1015
read 1015
<CR>Time:2021/10/15 14:400/15 14:40
Hours Minutes Seconds  Nb_Samples    Aver. Current 
10 59 7 25 13325 
10 59 22 24 17931 
10 59 37 25 20080 
10 59 52 25 21984 
11 1 28 25 22045 
11 1 43 25 22045 
11 1 58 25 22045 
11 2 13 25 22045 
11 2 28 25 22045 
11 2 43 25 22045 
11 2 58 25 22045 
11 3 13 25 22045 
11 3 28 25 22045 
11 3 43 25 22045 
11 3 58 25 22045 
11 4 13 25 22045 
11 4 28 25 22045 
11 4 43 25 22045 
11 4 58 25 22045 
11 5 13 25 22045 
11 5 28 25 22045 
11 5 43 25 22045 
11 5 58 25 22045 
11 6 13 25 22045 
11 6 28 25 22045 
11 6 43 25 22045 
11 6 58 25 22045 
11 7 13 25 22045 
11 7 28 25 21984 
11 7 43 25 22045 
11 7 58 25 22045 
11 8 13 25 21984 
11 8 28 25 21984 
11 8 43 25 21984 
11 8 58 25 21984 
11 9 13 25 22045 
11 9 28 25 21984 
11 9 43 25 22045 
11 9 58 25 21984 
11 10 13 25 21984 
11 10 28 25 21984 
11 10 43 25 21984 
11 10 58 25 21984 
11 11 13 26 21984 
11 11 28 25 21984 
11 11 43 25 21984 
11 11 58 25 21984 
11 12 13 25 21984 
11 12 28 25 21984 
11 12 43 25 21984 
11 12 58 25 21984 
11 13 13 25 21984 
11 13 28 25 21984 
