ls
ls
<CR>
         TIME          Size       File name 
----A 2021/10/15 14:51      6328  1015
----A 2021/10/15 11:30    128640  10151115
----A 2021/10/15 11:46    128000  10151131
----A 2021/10/15 12:02    128000  10151147
----A 2021/10/15 12:18    128000  10151203
----A 2021/10/15 12:34    128000  10151219
----A 2021/10/15 12:50    128000  10151235
----A 2021/10/15 13:06    128000  10151251
----A 2021/10/15 13:22    128000  10151307
----A 2021/10/15 13:23      2560  10151323
----A 2021/10/15 14:23    128000  10151408
----A 2021/10/15 14:39    128000  10151424
----A 2021/10/15 14:40      2560  10151440
----A 2021/10/16 14:41      8712  1016
----A 2021/10/16 10:11    128000  10160953
----A 2021/10/16 10:27    128000  10161009
----A 2021/10/16 10:43    128000  10161025
----A 2021/10/16 10:59    128000  10161041
----A 2021/10/16 11:15    128000  10161057
----A 2021/10/16 11:31    128000  10161113
----A 2021/10/16 11:47    128000  10161129
----A 2021/10/16 12:03    128000  10161145
----A 2021/10/16 12:19    128000  10161201
----A 2021/10/16 12:35    128000  10161217
----A 2021/10/16 12:51    128000  10161233
----A 2021/10/16 13:07    128000  10161249
----A 2021/10/16 13:28    129280  10161305
----A 2021/10/16 13:39    146560  10161329
----A 2021/10/16 13:53    128000  10161338
----A 2021/10/16 14:09    128000  10161354
----A 2021/10/16 14:25    128000  10161410
----A 2021/10/16 14:41     48000  10161426
----A 2021/10/17 15:14      9800  1017
----A 2021/10/17 10:11    128000  10170956
----A 2021/10/17 10:27    128000  10171012
----A 2021/10/17 10:43    128000  10171028
----A 2021/10/17 10:59    128000  10171044
----A 2021/10/17 11:15    128000  10171100
----A 2021/10/17 11:31    128000  10171116
----A 2021/10/17 11:47    128000  10171132
----A 2021/10/17 12:03    128000  10171148
----A 2021/10/17 12:19    128000  10171204
----A 2021/10/17 12:35    128000  10171220
----A 2021/10/17 12:51    128000  10171236
----A 2021/10/17 13:07    128000  10171252
----A 2021/10/17 13:23    128000  10171308
----A 2021/10/17 13:39    128000  10171324
----A 2021/10/17 13:55    128000  10171340
----A 2021/10/17 14:11    128000  10171356
----A 2021/10/17 14:27    128000  10171412
----A 2021/10/17 14:43    128000  10171428
----A 2021/10/17 14:59    128000  10171444
----A 2021/10/17 15:03      2560  10171500
----A 2021/10/18 15:02      9896  1018
----A 2021/10/18 09:58    128000  10180943
----A 2021/10/18 10:14    128000  10180959
----A 2021/10/18 10:30    128000  10181015
----A 2021/10/18 10:46    128000  10181031
----A 2021/10/18 11:02    128000  10181047
----A 2021/10/18 11:18    128000  10181103
----A 2021/10/18 11:34    128000  10181119
----A 2021/10/18 11:50    128000  10181135
----A 2021/10/18 12:06    128000  10181151
----A 2021/10/18 12:22    128000  10181207
----A 2021/10/18 12:38    128000  10181223
----A 2021/10/18 12:54    128000  10181239
----A 2021/10/18 13:10    128000  10181255
----A 2021/10/18 13:26    128000  10181311
----A 2021/10/18 13:42    128000  10181327
----A 2021/10/18 13:58    128000  10181343
----A 2021/10/18 14:14    128000  10181359
----A 2021/10/18 14:30    128000  10181415
----A 2021/10/18 14:46    128000  10181431
----A 2021/10/18 15:02     49920  10181447
----A 2021/10/19 14:15      8000  1019
----A 2021/10/19 10:03    128000  10190947
----A 2021/10/19 10:19    128000  10191003
----A 2021/10/19 10:35    128000  10191019
----A 2021/10/19 10:51    128000  10191035
----A 2021/10/19 11:07    128000  10191051
----A 2021/10/19 11:23    128000  10191107
----A 2021/10/19 11:39    128000  10191123
----A 2021/10/19 11:55    128000  10191139
----A 2021/10/19 12:11    128000  10191155
----A 2021/10/19 12:27    128000  10191211
----A 2021/10/19 12:43    128000  10191227
----A 2021/10/19 12:59    128000  10191243
----A 2021/10/19 13:15    128000  10191259
----A 2021/10/19 13:31    128000  10191315
----A 2021/10/19 13:51    144640  10191331
----A 2021/10/19 14:02    141440  10191353
----A 2021/10/19 14:03      2560  10191403
----A 2021/10/20 12:31      4424  1020
----A 2021/10/20 10:09    128000  10200954
----A 2021/10/20 10:27    128000  10201011
----A 2021/10/20 10:43    128000  10201028
----A 2021/10/20 11:01    128000  10201045
----A 2021/10/20 11:17    128000  10201102
----A 2021/10/20 11:35    128000  10201119
----A 2021/10/20 11:51    128000  10201136
----A 2021/10/20 12:09    128000  10201153
----A 2021/10/20 12:11      2560  10201210

 102 File(s),  11600440 bytes total
   0 Dir(s),     988848K bytes free

/> 
read 1020
read 1020
<CR>Time:2021/10/20 12:11
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 37 28 13 9303 
9 37 43 12 12807 
9 37 58 13 16069 
9 38 13 12 18546 
9 38 28 13 19573 
9 38 43 12 20842 
9 38 58 13 20963 
9 40 6 13 21023 
9 40 21 12 21023 
9 40 36 13 21023 
9 40 51 12 21023 
9 41 6 13 21023 
9 41 21 12 21023 
9 41 36 13 21023 
9 41 51 12 20963 
9 42 6 13 20963 
9 42 21 12 20963 
9 42 36 13 20963 
9 42 51 12 20963 
9 43 6 13 20963 
9 43 21 12 20963 
9 43 36 13 20963 
9 43 51 12 20963 
9 44 6 13 20963 
9 44 21 12 20963 
