ls

ls
<CR>
         TIME          Size       File name 
----A 2021/11/15 14:47      8752  1115
----A 2021/11/15 09:40    128000  11150925
----A 2021/11/15 09:58    128000  11150943
----A 2021/11/15 10:19    128000  11151001
----A 2021/11/15 10:35    128000  11151020
----A 2021/11/15 10:55    128000  11151038
----A 2021/11/15 11:11    128000  11151056
----A 2021/11/15 11:31    128000  11151115
----A 2021/11/15 11:50    128000  11151133
----A 2021/11/15 12:07    128000  11151151
----A 2021/11/15 12:25    128000  11151210
----A 2021/11/15 12:43    128000  11151228
----A 2021/11/15 13:02    128000  11151246
----A 2021/11/15 13:21    128000  11151305
----A 2021/11/15 13:38    128000  11151323
----A 2021/11/15 13:57    128000  11151342
----A 2021/11/15 14:15    128000  11151400
----A 2021/11/15 14:35    128000  11151418
----A 2021/11/15 14:37      2560  11151437
----A 2021/11/16 14:47      8504  1116
----A 2021/11/16 09:50    128000  11160935
----A 2021/11/16 10:09    128000  11160953
----A 2021/11/16 10:26    128000  11161011
----A 2021/11/16 10:45    128000  11161030
----A 2021/11/16 11:03    128000  11161048
----A 2021/11/16 11:23    128000  11161106
----A 2021/11/16 11:40    128000  11161125
----A 2021/11/16 11:58    128000  11161143
----A 2021/11/16 12:19    128000  11161201
----A 2021/11/16 12:35    128000  11161220
----A 2021/11/16 12:55    128000  11161238
----A 2021/11/16 13:11    128000  11161256
----A 2021/11/16 13:31    128000  11161315
----A 2021/11/16 13:50    128000  11161333
----A 2021/11/16 14:07    128000  11161351
----A 2021/11/16 14:25    128000  11161410
----A 2021/11/16 14:43    128000  11161428
----A 2021/11/16 14:47      2560  11161446
----A 2021/11/17 12:19      5016  1117
----A 2021/11/17 09:37    128000  11170921
----A 2021/11/17 09:55    128000  11170940
----A 2021/11/17 10:15    128000  11170958
----A 2021/11/17 10:32    128000  11171016
----A 2021/11/17 10:51    128000  11171035
----A 2021/11/17 11:10    128000  11171053
----A 2021/11/17 11:27    128000  11171112
