ls
ls
<CR>
         TIME          Size       File name 
----A 2021/11/09 14:59      8352  1109
----A 2021/11/09 09:55    128000  11090938
----A 2021/11/09 10:12    128000  11090957
----A 2021/11/09 10:31    128000  11091015
----A 2021/11/09 10:51    128000  11091033
----A 2021/11/09 11:07    128000  11091052
----A 2021/11/09 11:27    128000  11091110
----A 2021/11/09 11:43    128000  11091128
----A 2021/11/09 11:47      2560  11091147
----A 2021/11/09 12:31    128000  11091216
----A 2021/11/09 12:51    128000  11091234
----A 2021/11/09 13:08    128000  11091252
----A 2021/11/09 13:27    128000  11091311
----A 2021/11/09 13:46    128000  11091329
----A 2021/11/09 14:03    128000  11091348
----A 2021/11/09 14:21    128000  11091406
----A 2021/11/09 14:39    128000  11091424
----A 2021/11/09 14:43      2560  11091443

  18 File(s),   1933472 bytes total
   0 Dir(s),     998608K bytes free

/> 
read 1109
read 1109
<CR>Time:2021/11/09 14:43
Hours Minutes Seconds  Nb_Samples    Aver. Current 
9 22 15 7 10572 
9 22 31 8 13592 
9 22 45 7 15284 
9 23 1 8 15948 
9 23 15 7 15767 
9 23 31 8 15828 
9 23 45 7 15828 
9 24 1 8 15767 
9 24 15 7 15828 
9 24 31 8 15828 
9 24 45 7 16009 
9 27 0 7 16009 
9 27 16 8 16009 
9 27 30 7 16009 
9 27 46 8 16009 
9 28 0 7 16009 
9 28 16 8 16009 
9 28 30 7 16009 
9 28 46 8 16009 
9 29 0 7 16009 
9 29 16 8 16009 
9 29 30 7 16009 
9 29 46 8 16009 
9 30 0 7 16009 
9 30 16 8 16009 
9 30 30 7 16009 
9 30 46 8 16009 
9 31 0 7 16009 
9 31 16 8 16009 
9 31 30 7 16009 
9 31 46 8 16009 
9 32 0 7 16009 
9 32 16 8 16009 
9 32 30 7 16009 
9 32 46 8 16009 
9 33 0 7 16009 
9 33 16 8 16009 
9 33 30 7 16009 
9 33 46 8 16009 
9 34 0 7 16009 
9 34 16 8 16009 
9 34 30 7 16009 
9 34 46 8 16009 
9 35 0 7 16009 
9 39 18 8 16009 
9 39 32 7 16009 
9 39 48 8 16009 
9 40 2 7 16009 
9 40 18 8 16009 
9 40 32 7 16009 
9 40 48 8 16009 
9 41 2 7 16009 
9 41 18 8 16009 
9 41 32 7 16009 
9 41 48 8 16009 
