ls
ls
<CR>
         TIME          Size       File name 
----A 2021/03/02 13:59      9488  0302
----A 2021/03/02 08:18    128000  03020803
----A 2021/03/02 08:35    128000  03020820
----A 2021/03/02 08:54    128000  03020837
----A 2021/03/02 09:11    128000  03020854
----A 2021/03/02 09:26    128000  03020911
----A 2021/03/02 09:43    128000  03020928
----A 2021/03/02 10:02    128000  03020945
----A 2021/03/02 10:19    128000  03021002
----A 2021/03/02 10:34    128000  03021019
----A 2021/03/02 10:51    128000  03021036
----A 2021/03/02 11:10    128000  03021053
----A 2021/03/02 11:37    129280  03021121
----A 2021/03/02 11:39      2560  03021138
----A 2021/03/02 12:09      2560  03021208
----A 2021/03/02 12:57    128000  03021242
----A 2021/03/02 13:15    128000  03021259
----A 2021/03/02 13:31    128000  03021316
----A 2021/03/02 13:49    128000  03021333
----A 2021/03/02 13:51      2560  03021350
----A 2021/03/03 13:35      9200  0303
----A 2021/03/03 08:23    128000  03030807
----A 2021/03/03 08:39    128000  03030824
----A 2021/03/03 08:57    128000  03030841
----A 2021/03/03 09:13    128000  03030858
----A 2021/03/03 09:31    128000  03030915
----A 2021/03/03 09:47    138880  03030932
----A 2021/03/03 10:06    128000  03030949
----A 2021/03/03 10:23    128000  03031006
----A 2021/03/03 10:38    128000  03031023
----A 2021/03/03 10:55    128000  03031040
----A 2021/03/03 11:14    128000  03031057
----A 2021/03/03 11:14      2560  03031114
----A 2021/03/03 11:55    128000  03031140
----A 2021/03/03 12:14    128000  03031157
----A 2021/03/03 12:31    128000  03031214
----A 2021/03/03 12:46    128000  03031231
----A 2021/03/03 13:03    128000  03031248
----A 2021/03/03 13:22    128000  03031305
----A 2021/03/03 13:22      2560  03031322
----A 2021/03/09 10:38       864  0309
----A 2021/03/10 13:18      7144  0310
----A 2021/03/10 09:34    128000  03100917
----A 2021/03/10 09:51    128000  03100934
----A 2021/03/10 10:06    128000  03100951
----A 2021/03/10 10:23    128000  03101008
----A 2021/03/10 10:42    128000  03101025
----A 2021/03/10 10:59    128000  03101042
----A 2021/03/10 11:14    128000  03101059
----A 2021/03/10 11:31    128000  03101116
----A 2021/03/10 11:50    128000  03101133
----A 2021/03/10 12:07    128000  03101150
----A 2021/03/10 12:22    128000  03101207
----A 2021/03/10 12:39    128000  03101224
----A 2021/03/10 12:58    128000  03101241
----A 2021/03/10 13:15    128000  03101258
----A 2021/03/10 13:15      2560  03101315
----A 2021/03/11 13:31     10304  0311
----A 2021/03/11 07:53    128000  03110738
----A 2021/03/11 08:11    128000  03110755
----A 2021/03/11 08:27    128000  03110812
----A 2021/03/11 08:45    128000  03110829
----A 2021/03/11 09:01    128000  03110846
----A 2021/03/11 09:19    128000  03110903
----A 2021/03/11 09:35    128000  03110920
----A 2021/03/11 09:53    128000  03110937
----A 2021/03/11 10:09    128000  03110954
----A 2021/03/11 10:27    128000  03111011
----A 2021/03/11 10:43    128000  03111028
----A 2021/03/11 11:01    128000  03111045
----A 2021/03/11 11:17    128000  03111102
----A 2021/03/11 11:35    128000  03111119
----A 2021/03/11 11:51    128000  03111136
----A 2021/03/11 12:09    128000  03111153
----A 2021/03/11 12:25    128000  03111210
----A 2021/03/11 12:43    128000  03111227
----A 2021/03/11 12:59    128000  03111244
----A 2021/03/11 13:17    128000  03111301
----A 2021/03/11 13:19      2560  03111318
----A 2021/03/12 13:29     10048  0312
----A 2021/03/12 07:58    128000  03120741
----A 2021/03/12 08:15    128000  03120758
----A 2021/03/12 08:30    128000  03120815
----A 2021/03/12 08:47    128000  03120832
----A 2021/03/12 09:06    128000  03120849
----A 2021/03/12 09:23    128000  03120906
----A 2021/03/12 09:38    128000  03120923
----A 2021/03/12 09:55    128000  03120940
----A 2021/03/12 10:14    128000  03120957
----A 2021/03/12 10:31    128000  03121014
----A 2021/03/12 10:46    128000  03121031
----A 2021/03/12 11:03    128000  03121048
----A 2021/03/12 11:22    128000  03121105
----A 2021/03/12 11:39    128000  03121122
----A 2021/03/12 11:54    128000  03121139
----A 2021/03/12 12:11    128000  03121156
----A 2021/03/12 12:30    128000  03121213
----A 2021/03/12 12:47    128000  03121230
----A 2021/03/12 13:02    128000  03121247
----A 2021/03/12 13:19    128000  03121304
----A 2021/03/12 13:23      2560  03121321

 101 File(s),  11215688 bytes total
   0 Dir(s),     989200K bytes free

/> 
read 0312
read 0312
<CR>Time:2021/03/12 13:2323
Hours Minutes Seconds  Nb_Samples    Aver. Current 
7 26 33 13 4921 
7 26 48 12 5651 
7 27 3 13 5711 
7 27 18 12 5711 
7 27 33 13 5711 
7 27 48 12 5772 
7 28 3 13 6137 
7 28 18 12 6319 
7 28 33 13 6501 
7 28 48 12 7291 
7 29 3 13 7960 
7 29 18 12 8020 
7 29 33 13 8020 
7 29 48 12 8081 
7 30 3 13 8750 
7 30 18 12 9175 
7 30 33 13 9053 
7 30 48 12 9053 
7 31 3 13 8993 
7 31 18 12 9053 
7 31 33 13 9114 
7 31 48 12 9053 
7 32 3 13 9053 
7 32 18 12 9053 
7 32 33 13 8993 
7 32 48 12 9053 
7 33 3 13 9053 
7 33 18 12 9053 
7 33 33 13 9114 
7 33 48 12 9114 
7 34 3 13 9114 
7 34 18 12 9114 
